Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0710_PP154_SM2_BF1_SLR4,SUCCESS,19.45777777777778,320,,45376.,0.2855,3.20,Feb 13 06:33,Feb 14 02:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0710_PP269_SM5_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:14,N/A,,,,,,,,,,
SS0711_PP002_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:12,N/A,,,,,,,,,,
SS0711_PP005_SM4_BF1_SLR4,SUCCESS,18.33277777777778,304,,40498.,0.2923,0.41,Feb 13 06:17,Feb 14 00:37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0711_PP006_SM4_BF1_SLR4,SUCCESS,18.080555555555556,304,,40903.,0.2961,1.12,Feb 13 06:14,Feb 14 00:19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0711_PP024_SM1_BF1_SLR4,SUCCESS,18.822499999999998,304,,40149.,0.2864,0.38,Feb 07 18:38,Feb 08 13:27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0711_PP052_SM3_BF1_SLR4,Running,N/A,0,,N/A,N/A,N/A,Feb 15 03:12,N/A,,,,,,,,,,
SS0711_PP065_SM3_BF1_SLR4,SUCCESS,18.65694444444444,304,,41775.,0.3090,0.40,Feb 11 22:35,Feb 12 17:15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0711_PP071_SM3_BF1_SLR4,SUCCESS,23.533611111111114,384,,41637.,0.3068,1.05,Feb 11 21:15,Feb 12 20:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0711_PP072_SM2_BF1_SLR4,SUCCESS,17.75138888888889,288,,40568.,0.3023,0.15,Feb 11 22:33,Feb 12 16:18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
