Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS1004_PP049_SM3_BF1_Base,SUCCESS,14.0,56.0,,34523.0,0.3858,0.23,Dec 31 07:30,Dec 31 21:29,,,,,,,,,,
SS1004_PP123_SM3_BF1_Base,SUCCESS,15.0,60.0,,31683.0,0.3514,3.04,Jan  5 13:17,Jan  6 03:43,,,,,,,,,,
SS1004_PP056_SM3_BF1_Base,SUCCESS,15.0,60.0,,32032.0,0.3588,0.5,Jan 10 16:55,Jan 11 06:59,,,,,,,,,,
SS1004_PP093_SM1_BF1_Base,SUCCESS,15.0,60.0,,32355.0,0.3537,3.12,Jan  8 13:49,Jan  9 04:25,,,,,,,,,,
SS1004_PP122_SM3_BF1_Base,SUCCESS,17.0,68.0,,34910.0,0.3873,1.09,Dec 30 15:39,Dec 31 08:10,,,,,,,,,,
SS1004_PP103_SM3_BF1_Base,SUCCESS,15.0,60.0,,31864.0,0.3562,0.23,Dec 30 15:34,Dec 31 06:11,,,,,,,,,,
SS1004_PP047_SM3_BF1_Base,SUCCESS,16.0,64.0,,45265.0,0.5047,2.85,Jan  8 13:50,Jan  9 05:00,,,,,,,,,,
SS1004_PP143_SM3_BF1_Base,SUCCESS,15.0,60.0,,34393.0,0.3811,2.61,Dec 30 15:35,Dec 31 05:42,,,,,,,,,,
SS1004_PP044_SM1_BF1_Base,SUCCESS,15.0,60.0,,32465.0,0.3612,2.22,Dec 30 15:34,Dec 31 06:11,,,,,,,,,,
SS1004_PP080_SM2_BF1_Base,SUCCESS,15.0,60.0,,31816.0,0.3541,0.69,Jan 11 18:58,Jan 12 09:03,,,,,,,,,,
SS1004_PP054_SM3_BF1_Base,SUCCESS,13.0,52.0,,33143.0,0.3685,0.58,Jan 11 18:57,Jan 12 07:55,,,,,,,,,,
SS1004_PP106_SM2_BF1_Base,SUCCESS,15.0,60.0,,34815.0,0.3874,1.19,Jan  7 12:16,Jan  8 02:23,,,,,,,,,,
SS1004_PP138_SM3_BF1_Base,SUCCESS,18.0,72.0,,32848.0,0.3657,1.18,Jan 13 22:23,Jan 14 15:53,,,,,,,,,,
SS1004_PP101_SM4_BF1_Base,SUCCESS,15.0,60.0,,32964.0,0.3651,0.55,Jan 11 18:58,Jan 12 09:17,,,,,,,,,,
