Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft)
S1338,Success,5h 21m 41s,18,,12061.0,0.2068,0.95,Jul 23 17:06,Jul 23 22:28,,327.66,9.8,8.82,589388096.0,308268.69,85.9,0.78,8.24
S1442,Success,6h 57m 9s,21,,17605.0,0.3062,0.71,Jul 23 17:12,Jul 24 00:09,,327.66,10.79,7.29,561022464.0,184413.38,128.83,0.12,8.24
S1334,Success,4h 54m 25s,15,,12925.0,0.2424,0.23,Jul 23 17:06,Jul 23 22:01,,327.66,6.15,5.98,571029568.0,276615.19,94.71,0.54,8.24
S1336,Success,5h 15m 48s,18,,13661.0,0.2464,0.18,Jul 23 17:07,Jul 23 22:22,,327.66,8.72,6.35,563518848.0,166554.78,62.78,0.4,8.24
S1340,Success,4h 56m 57s,15,,12359.0,0.2219,0.23,Jul 23 17:05,Jul 23 22:02,,327.66,6.41,6.11,576054912.0,185296.58,48.6,0.67,8.24
S1341,Success,3h 42m 5s,12,,9298.0,0.205,0.08,Jul 23 17:10,Jul 23 20:52,,327.66,5.72,5.74,567882496.0,176285.23,25.3,0.28,8.24
S1331,Success,8h 13m 59s,27,,20727.0,0.2744,2.16,Jul 23 17:13,Jul 24 01:27,,327.66,14.13,10.2,597624832.0,207509.53,93.56,0.58,11.55
S1444,Success,7h 47m 1s,24,,18232.0,0.2996,0.56,Jul 23 17:14,Jul 24 01:01,,327.66,10.06,7.17,564329344.0,165152.94,131.26,0.09,8.24
S1333,Success,5h 52m 16s,18,,16252.0,0.2838,0.19,Jul 23 17:07,Jul 23 22:59,,327.66,5.86,5.62,575856704.0,158343.08,42.42,0.27,8.24
S1337,Success,10h 19m 51s,33,,18825.0,0.2356,1.18,Jul 23 17:13,Jul 24 03:33,,327.66,10.31,8.23,581110720.0,251763.02,87.98,0.81,8.24
S1447,Success,5h 35m 24s,18,,13130.0,0.2221,0.62,Jul 23 17:09,Jul 23 22:45,,327.66,9.99,7.29,569351616.0,167809.97,100.6,0.21,8.24
S1446,Success,4h 34m 2s,15,,11010.0,0.2493,0.84,Jul 23 17:10,Jul 23 21:44,,327.66,6.22,6.21,557798528.0,122587.72,117.28,0.27,8.24
S1339,Success,8h 23m 36s,27,,20665.0,0.2742,1.96,Jul 23 17:15,Jul 24 01:38,,327.66,14.13,11.3,596650944.0,210045.91,68.95,0.58,11.55
S1454,Success,4h 53m 4s,15,,12614.0,0.2507,0.44,Jul 23 17:09,Jul 23 22:02,,327.66,10.58,7.96,558325440.0,297051.34,94.01,0.39,8.24
S1443,Success,9h 23m 14s,30,,22272.0,0.3087,1.42,Jul 23 17:15,Jul 24 02:38,,327.66,9.9,7.57,570995072.0,286748.5,139.09,0.25,8.24
S1445,Success,7h 9m 16s,24,,17245.0,0.2908,0.46,Jul 23 17:13,Jul 24 00:22,,327.66,5.63,6.41,568287488.0,156693.3,114.36,0.12,8.24
S1452,Success,5h 49m 19s,18,,14892.0,0.2635,1.9,Jul 23 17:10,Jul 23 22:59,,327.66,11.48,8.0,571704896.0,264416.69,133.69,0.26,8.24
S1449,Success,7h 10m 43s,24,,19008.0,0.3095,1.25,Jul 23 17:12,Jul 24 00:22,,327.66,10.89,7.34,557823936.0,226302.69,172.9,0.23,8.24
S1455,Success,7h 14m 44s,24,,13727.0,0.2538,0.66,Jul 23 17:10,Jul 24 00:25,,327.66,5.61,6.44,572422720.0,195994.69,82.8,0.2,8.24
S1448,Success,6h 36m 39s,21,,16263.0,0.2546,0.14,Jul 23 17:11,Jul 23 23:47,,327.66,10.16,6.95,558272448.0,174754.19,70.77,0.17,8.24
S1462,Success,3h 28m 10s,12,,8605.0,0.1955,0.09,Jul 23 17:13,Jul 23 20:41,,327.66,5.58,5.63,573094912.0,129506.95,79.06,0.25,8.24
S1453,Success,6h 40m 34s,21,,17304.0,0.2907,0.5,Jul 23 17:12,Jul 23 23:53,,327.66,8.64,6.43,557807872.0,214271.75,115.41,0.2,8.24
S1450,Success,8h 51m 4s,27,,23342.0,0.3316,2.03,Jul 23 17:14,Jul 24 02:05,,327.66,15.22,6.68,576251520.0,305461.47,140.21,0.56,8.24
S1461,Success,6h 13m 2s,21,,13307.0,0.2367,0.79,Jul 23 17:14,Jul 23 23:27,,327.66,9.03,8.14,567043264.0,217599.94,102.44,0.41,8.24
S1451,Success,9h 54m 9s,30,,23827.0,0.3125,2.36,Jul 23 17:17,Jul 24 03:11,,327.66,16.44,11.49,592656192.0,185859.02,164.99,0.58,11.55
S1465,Success,5h 19m 41s,18,,15575.0,0.279,0.32,Jul 23 17:13,Jul 23 22:33,,327.66,10.54,6.31,590049408.0,265150.31,144.68,0.66,8.24
S1460,Success,7h 46m 52s,24,,17207.0,0.2592,0.69,Jul 23 17:12,Jul 24 00:59,,327.66,10.61,9.13,568376896.0,217070.44,126.55,0.34,8.24
S1458,Success,11h 59m 53s,36,,23093.0,0.303,2.18,Jul 23 17:16,Jul 24 05:15,,327.66,14.13,11.48,595195264.0,212328.81,186.52,0.58,11.55
S1456,Success,10h 50m 55s,33,,22047.0,0.2945,1.03,Jul 23 17:14,Jul 24 04:05,,327.66,13.13,8.86,595092032.0,269327.56,188.25,0.56,8.24
