Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft),Max Cum PRCP (inc)
SS0120_PP249_SM1_BF1_Base,Failed,4h 9m 25s,0,,,,,Dec 31 19:53,Jan 01 00:02,", filename = 'COJCOMPOUNDCOMPUTET.p01.tmp.hdf', file descriptor = 3, errno = 122, error message = 'Disk quota exceeded', buf = 0x121525dc, total write size = 546576, bytes this sub-write = 546576, bytes actually written = 18446744073709551615, offset = 0 HDF_ERROR trying to use HDF output file HDF_ERROR trying to close HDF output file:",,,,,,,,,
SS0120_PP253_SM3_BF1_Base,Failed,13h 56m 29s,0,,,,,Dec 31 05:50,Dec 31 19:47,,,,,,,,,,
SS0120_PP271_SM3_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0120_PP276_SM2_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0120_PP341_SM4_BF1_Base,Success,14h 17m 49s,45,,32562.0,0.3479,0.42,Dec 30 16:12,Dec 31 06:30,,,,,,,,,,
SS0120_PP342_SM2_BF1_Base,Success,13h 21m 10s,42,,32233.0,0.3428,0.57,Jan 01 00:53,Jan 01 14:14,,,,,,,,,,
SS0120_PP381_SM3_BF1_Base,Running,,0,,,,,Dec 29 23:32,,,,,,,,,,,
SS0120_PP394_SM3_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0120_PP401_SM1_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0120_PP433_SM3_BF1_Base,Success,18h 7m 7s,57,,32261.0,0.3445,1.23,Dec 30 15:41,Dec 31 09:48,,,,,,,,,,
SS0120_PP458_SM1_BF1_Base,Success,14h 6m 58s,45,,32358.0,0.3418,0.54,Jan 01 04:02,Jan 01 18:09,,,,,,,,,,
SS0120_PP472_SM3_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0122_PP020_SM4_BF1_Base,Success,17h 55m 32s,54,,140810.0,0.9809,2.22,Dec 31 23:34,Jan 01 17:29,,,,,,,,,,
SS0122_PP022_SM4_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0123_PP217_SM1_BF1_Base,Success,18h 39m 59s,57,,203750.0,1.936,0.56,Dec 31 10:11,Jan 01 04:51,,,,,,,,,,
SS0126_PP071_SM1_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0127_PP213_SM3_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
SS0128_PP002_SM1_BF1_Base,Initializing,,0,,,,,,,,,,,,,,,,
