Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info
S1329,Success,10h 30m 16s,33,,17584.,0.2135,1.92,Jul 23 17:11,Jul 24 03:41,
S1330,Success,5h 7m 48s,18,,9182.,0.1682,0.43,Jul 23 17:06,Jul 23 22:14,
S1331,Success,8h 13m 59s,27,,20727.,0.2744,2.16,Jul 23 17:13,Jul 24 01:27,
S1332,Success,5h 17m 41s,18,,13692.,0.2355,0.18,Jul 23 17:06,Jul 23 22:24,
S1333,Success,5h 52m 16s,18,,16252.,0.2838,0.19,Jul 23 17:07,Jul 23 22:59,
S1334,Success,4h 54m 25s,15,,12925.,0.2424,0.23,Jul 23 17:06,Jul 23 22:01,
S1335,Success,7h 14m 9s,24,,17376.,0.2341,0.72,Jul 23 17:10,Jul 24 00:24,
S1336,Success,5h 15m 48s,18,,13661.,0.2464,0.18,Jul 23 17:07,Jul 23 22:22,
S1337,Success,10h 19m 51s,33,,18825.,0.2356,1.18,Jul 23 17:13,Jul 24 03:33,
S1338,Success,5h 21m 41s,18,,12061.,0.2068,0.95,Jul 23 17:06,Jul 23 22:28,
S1339,Success,8h 23m 36s,27,,20665.,0.2742,1.96,Jul 23 17:15,Jul 24 01:38,
S1340,Success,4h 56m 57s,15,,12359.,0.2219,0.23,Jul 23 17:05,Jul 23 22:02,
S1341,Success,3h 42m 5s,12,,9298.,0.2050,0.08,Jul 23 17:10,Jul 23 20:52,
S1442,Success,6h 57m 9s,21,,17605.,0.3062,0.71,Jul 23 17:12,Jul 24 00:09,
S1443,Success,9h 23m 14s,30,,22272.,0.3087,1.42,Jul 23 17:15,Jul 24 02:38,
S1444,Success,7h 47m 1s,24,,18232.,0.2996,0.56,Jul 23 17:14,Jul 24 01:01,
S1445,Success,7h 9m 16s,24,,17245.,0.2908,0.46,Jul 23 17:13,Jul 24 00:22,
S1446,Success,4h 34m 2s,15,,11010.,0.2493,0.84,Jul 23 17:10,Jul 23 21:44,
S1447,Success,5h 35m 24s,18,,13130.,0.2221,0.62,Jul 23 17:09,Jul 23 22:45,
S1448,Success,6h 36m 39s,21,,16263.,0.2546,0.14,Jul 23 17:11,Jul 23 23:47,
S1449,Success,7h 10m 43s,24,,19008.,0.3095,1.25,Jul 23 17:12,Jul 24 00:22,
S1450,Success,8h 51m 4s,27,,23342.,0.3316,2.03,Jul 23 17:14,Jul 24 02:05,
S1451,Success,9h 54m 9s,30,,23827.,0.3125,2.36,Jul 23 17:17,Jul 24 03:11,
S1452,Success,5h 49m 19s,18,,14892.,0.2635,1.90,Jul 23 17:10,Jul 23 22:59,
S1453,Success,6h 40m 34s,21,,17304.,0.2907,0.50,Jul 23 17:12,Jul 23 23:53,
S1454,Success,4h 53m 4s,15,,12614.,0.2507,0.44,Jul 23 17:09,Jul 23 22:02,
S1455,Success,7h 14m 44s,24,,13727.,0.2538,0.66,Jul 23 17:10,Jul 24 00:25,
S1456,Success,10h 50m 55s,33,,22047.,0.2945,1.03,Jul 23 17:14,Jul 24 04:05,
S1457,Success,9h 26m 49s,30,,19504.,0.2659,2.71,Jul 23 17:11,Jul 24 02:37,
S1458,Success,11h 59m 53s,36,,23093.,0.3030,2.18,Jul 23 17:16,Jul 24 05:15,
S1459,Success,11h 52m 40s,36,,23930.,0.3125,2.36,Jul 23 17:18,Jul 24 05:11,
S1460,Success,7h 46m 52s,24,,17207.,0.2592,0.69,Jul 23 17:12,Jul 24 00:59,
S1461,Success,6h 13m 2s,21,,13307.,0.2367,0.79,Jul 23 17:14,Jul 23 23:27,
S1462,Success,3h 28m 10s,12,,8605.,0.1955,0.09,Jul 23 17:13,Jul 23 20:41,
S1463,Success,8h 41m 49s,27,,25486.,0.3341,2.16,Jul 23 17:19,Jul 24 02:01,
S1464,Success,6h 28m 25s,21,,17767.,0.2918,0.18,Jul 23 17:15,Jul 23 23:43,
S1465,Success,5h 19m 41s,18,,15575.,0.2790,0.32,Jul 23 17:13,Jul 23 22:33,
S1466,Success,8h 35m 11s,27,,23831.,0.2864,1.06,Jul 23 17:18,Jul 24 01:53,
S1467,Success,6h 53m 59s,21,,17537.,0.2505,0.70,Jul 23 17:15,Jul 24 00:09,
S1468,Success,6h 26m 52s,21,,16273.,0.2470,0.21,Jul 23 17:15,Jul 23 23:42,
S1469,Success,8h 5m 11s,27,,20872.,0.2770,2.30,Jul 23 17:19,Jul 24 01:25,
S1470,Success,9h 41m 38s,30,,32745.,0.4295,3.64,Jul 23 17:21,Jul 24 03:03,
S1471,Success,7h 40m 56s,24,,18646.,0.2756,0.36,Jul 23 17:16,Jul 24 00:57,
S1472,Success,7h 28m 9s,24,,20722.,0.3081,2.67,Jul 23 17:15,Jul 24 00:43,
S1473,Success,7h 37m 39s,24,,18759.,0.3012,0.40,Jul 23 17:17,Jul 24 00:54,
S1474,Success,5h 27m 30s,18,,15305.,0.2515,0.17,Jul 23 17:14,Jul 23 22:41,
S1475,Success,7h 24m 49s,24,,20673.,0.3073,0.16,Jul 23 17:17,Jul 24 00:42,
S1476,Success,6h 48m 42s,21,,16820.,0.2514,0.72,Jul 23 17:15,Jul 24 00:04,
S1477,Success,8h 22m 32s,27,,30365.,0.4002,3.45,Jul 23 17:19,Jul 24 01:41,
S1478,Success,9h 12m 37s,30,,19189.,0.3084,0.80,Jul 23 17:16,Jul 24 02:29,
S1479,Success,10h 31m 28s,33,,23340.,0.3079,2.34,Jul 23 17:19,Jul 24 03:51,
S1480,Success,6h 57m 33s,21,,13958.,0.2412,0.17,Jul 23 17:14,Jul 24 00:11,
S1481,Success,6h 39m 27s,21,,11579.,0.2153,2.78,Jul 23 17:17,Jul 23 23:56,
S1482,Success,11h 17m 17s,36,,20943.,0.2782,2.16,Jul 23 17:23,Jul 24 04:41,
S1483,Success,7h 39m 11s,24,,17501.,0.2858,2.10,Jul 23 17:23,Jul 24 01:02,
S1484,Success,8h 16m 52s,27,,21509.,0.2855,2.19,Jul 23 17:26,Jul 24 01:43,
S1485,Success,7h 4m 52s,24,,18432.,0.2870,0.44,Jul 23 17:22,Jul 24 00:26,
S1486,Success,7h 11m 21s,24,,18554.,0.2597,1.35,Jul 23 17:22,Jul 24 00:33,
