Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft),Max Cum PRCP (inc)
SS0136_PP169_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:16,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP184_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 12:49,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP192_SM2_BF1_Base,Success,17h 22m 29s,54,,36399.,0.3618,1.04,Dec 30 16:27,Dec 31 09:49,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP202_SM4_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 15:30,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP226_SM3_BF1_Base,Success,17h 35m 28s,54,,36620.,0.3634,0.21,Dec 30 15:56,Dec 31 09:31,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP257_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 10:26,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP259_SM1_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:54,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP273_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 04:41,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP294_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 11:36,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP302_SM1_BF1_Base,Success,19h 2m 30s,60,,36377.,0.3614,1.51,Dec 30 15:52,Dec 31 10:55,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP359_SM1_BF1_Base,Success,18h 29m 46s,57,,36200.,0.3580,0.78,Dec 30 16:30,Dec 31 11:00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP367_SM1_BF1_Base,Success,17h 18m 58s,54,,36741.,0.3667,0.79,Dec 30 16:07,Dec 31 09:26,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP395_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 14:02,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP418_SM2_BF1_Base,Success,17h 31m 3s,54,,37873.,0.3727,1.09,Dec 30 15:53,Dec 31 09:24,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP456_SM4_BF1_Base,Success,20h 55m 43s,63,,36593.,0.3625,0.45,Dec 30 15:53,Dec 31 12:49,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP473_SM1_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:58,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0136_PP495_SM3_BF1_Base,Success,17h 56m 45s,54,,37466.,0.3733,0.93,Dec 30 16:08,Dec 31 10:04,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP020_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 15:07,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP080_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:39,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP089_SM2_BF1_Base,Success,18h 3m 38s,57,,30673.,0.2930,2.26,Dec 30 15:41,Dec 31 09:44,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP183_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 16:08,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP255_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:45,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP271_SM1_BF1_Base,Success,18h 1m 10s,57,,32730.,0.3124,1.33,Dec 30 16:10,Dec 31 10:11,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP305_SM1_BF1_Base,Success,16h 43m 15s,51,,33507.,0.3200,1.34,Dec 30 15:35,Dec 31 08:18,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP373_SM3_BF1_Base,Success,16h 9m 53s,51,,36514.,0.3472,0.80,Dec 30 15:35,Dec 31 07:45,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP374_SM1_BF1_Base,Success,17h 58m 45s,54,,33188.,0.3134,2.90,Dec 30 15:36,Dec 31 09:34,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP378_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 06:31,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP380_SM1_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:06,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP389_SM1_BF1_Base,Success,16h 25m 39s,51,,33258.,0.3133,2.24,Dec 30 15:54,Dec 31 08:20,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP396_SM3_BF1_Base,Success,16h 10m 11s,51,,31275.,0.2970,1.34,Dec 30 16:04,Dec 31 08:15,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP444_SM4_BF1_Base,Success,16h 38m 27s,51,,32976.,0.3106,3.28,Dec 30 15:46,Dec 31 08:25,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0143_PP446_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 11:16,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0144_PP039_SM3_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 12:20,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0144_PP051_SM2_BF1_Base,Success,18h 29m 30s,57,,39159.,0.4149,1.27,Dec 30 16:39,Dec 31 11:09,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0144_PP096_SM4_BF1_Base,Success,19h 41m 1s,60,,38763.,0.4065,2.78,Dec 30 16:41,Dec 31 12:22,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0144_PP110_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:18,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0144_PP155_SM1_BF1_Base,Success,16h 16m 52s,51,,38903.,0.4145,0.82,Dec 30 16:03,Dec 31 08:20,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0144_PP156_SM1_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 07:43,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0144_PP206_SM5_BF1_Base,Success,18h 3m 37s,57,,39031.,0.4109,0.81,Dec 30 16:34,Dec 31 10:37,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0144_PP241_SM4_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 06:52,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0144_PP254_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 09:06,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0144_PP320_SM2_BF1_Base,Success,18h 45m 8s,57,,38832.,0.4110,0.84,Dec 30 16:35,Dec 31 11:20,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SS0144_PP325_SM2_BF1_Base,Running,N/A,0,,N/A,N/A,N/A,Dec 31 10:13,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
